jobid,k_opt,MAE_adj,Med_Abs_Err,scenario
1,18,0.318822916155623,0.239240028360962,Proposed
1,16,0.258408361999127,0.21884632282361,Oracle
2,15,0.303342052602544,0.276083590273273,Proposed
2,14,0.20659424052121,0.151643323194628,Oracle
3,31,0.410321215171379,0.385113714895353,Proposed
3,29,0.352093584759621,0.323393599573424,Oracle
4,32,0.290805328869487,0.244552702852108,Proposed
4,29,0.289860371596521,0.233517776332928,Oracle
5,25,0.35277811238992,0.260654472431278,Proposed
5,25,0.296504916821569,0.259563615153829,Oracle
6,24,0.352133879236959,0.2969549172342,Proposed
6,29,0.225489570095653,0.186356273785325,Oracle
7,37,0.304778082143993,0.23757845191871,Proposed
7,35,0.30029443527197,0.237960643080281,Oracle
8,23,0.273796148694696,0.174469926361608,Proposed
8,21,0.218700870481995,0.171918639829371,Oracle
9,27,0.401149491098944,0.312711451452518,Proposed
9,25,0.377569651598867,0.29457560614752,Oracle
10,27,0.310365654285595,0.264578976395987,Proposed
10,28,0.291927250759686,0.314413917711243,Oracle
11,21,0.265212531645074,0.227929973362647,Proposed
11,27,0.245403322930853,0.220655066687624,Oracle
12,27,0.321342866688954,0.241526188694166,Proposed
12,25,0.289208297106314,0.260836744635893,Oracle
13,19,0.331542352156776,0.253786391733683,Proposed
13,19,0.329063081343356,0.253392738406127,Oracle
14,23,0.27802845848719,0.223795649369453,Proposed
14,22,0.346468159901161,0.276647221620465,Oracle
15,28,0.27198964983265,0.254570245148109,Proposed
15,29,0.218129871235362,0.209211850281678,Oracle
16,35,0.353679351551986,0.321711805827974,Proposed
16,36,0.271063267742669,0.264948494115256,Oracle
17,15,0.345566900148027,0.324436285359757,Proposed
17,15,0.296533791425029,0.28187789250224,Oracle
18,16,0.368774594988528,0.31375887575565,Proposed
18,17,0.302474514198645,0.303503029014399,Oracle
19,26,0.339939042377879,0.276794644021159,Proposed
19,23,0.27644983204982,0.24277321747275,Oracle
20,23,0.328234465324592,0.285114715366509,Proposed
20,23,0.329974660163324,0.295800823653947,Oracle
21,21,0.311187515224748,0.240569267010562,Proposed
21,21,0.226683112014253,0.204857627010108,Oracle
22,33,0.184930189802533,0.169474020255924,Proposed
22,37,0.149881682286439,0.150096596785704,Oracle
23,24,0.284581526600942,0.241833951555141,Proposed
23,25,0.232606167530094,0.198942924937037,Oracle
24,18,0.323384834766396,0.275719303215737,Proposed
24,17,0.271983557658066,0.234329389943259,Oracle
25,19,0.289417373639642,0.244749307409775,Proposed
25,20,0.238647568175196,0.220037411825284,Oracle
26,27,0.263590557787884,0.187759129233306,Proposed
26,26,0.244550910729195,0.204733752015274,Oracle
27,26,0.363010361938531,0.247009667559831,Proposed
27,27,0.345949705820691,0.268168498824754,Oracle
28,18,0.208702894739919,0.139719221526187,Proposed
28,17,0.185833264731983,0.131180968873478,Oracle
29,31,0.289594202725778,0.271002400711605,Proposed
29,29,0.315162523602994,0.300764281887833,Oracle
30,16,0.203567568402615,0.144741094596522,Proposed
30,30,0.213870285933899,0.173590785775879,Oracle
31,29,0.339248667166188,0.326059370582646,Proposed
31,27,0.300006315434166,0.265062616251111,Oracle
32,16,0.317409189192595,0.205492530718172,Proposed
32,17,0.251335574006031,0.146859041418711,Oracle
33,30,0.172033903277003,0.140500438480393,Proposed
33,29,0.151143873717412,0.134354107396826,Oracle
34,6,0.455136591419541,0.433199961290552,Proposed
34,6,0.359283487784672,0.353848002306215,Oracle
35,37,0.330191482975658,0.290627447258798,Proposed
35,34,0.328864474607821,0.286728554777216,Oracle
36,33,0.292076932605888,0.229637682169129,Proposed
36,32,0.266692937393812,0.230770406991516,Oracle
37,28,0.285402124894921,0.268078273341066,Proposed
37,30,0.161218742484869,0.152564975765424,Oracle
38,31,0.375189023583266,0.302876630142363,Proposed
38,31,0.323822168245688,0.207178719250301,Oracle
39,26,0.385988174146324,0.345939630843876,Proposed
39,28,0.381825430824954,0.341915395316404,Oracle
40,23,0.339584314524113,0.302257268295249,Proposed
40,25,0.305058817507441,0.274049587717015,Oracle
41,32,0.256618424026272,0.190963440815304,Proposed
41,38,0.217288676932172,0.169047883070628,Oracle
42,27,0.293724011062638,0.251520101081322,Proposed
42,27,0.281522014117667,0.26314885852713,Oracle
43,37,0.205978698878336,0.191892256932999,Proposed
43,37,0.193197883444893,0.187657332198826,Oracle
44,21,0.233824037256982,0.235139937107958,Proposed
44,21,0.180823487670823,0.176467035213626,Oracle
45,23,0.293858820591261,0.245713543061898,Proposed
45,26,0.275864592156742,0.26323125191931,Oracle
46,28,0.356332940470047,0.330880730657802,Proposed
46,24,0.32326653761629,0.272233673808965,Oracle
47,18,0.43963134416956,0.392845505817282,Proposed
47,16,0.461658308583706,0.402040380394819,Oracle
48,26,0.418222916257006,0.309608548632496,Proposed
48,26,0.398081892533463,0.275013592900668,Oracle
49,30,0.320214352714686,0.23526597583525,Proposed
49,30,0.298426111858933,0.234586838993701,Oracle
50,21,0.342951150663589,0.29985757665658,Proposed
50,20,0.335569022389298,0.313558567219526,Oracle
51,29,0.280581665507731,0.211648366699546,Proposed
51,31,0.261028808939632,0.227369328907733,Oracle
52,28,0.221233827839153,0.161537062777291,Proposed
52,29,0.157081792863887,0.131634332988781,Oracle
53,14,0.246792164124769,0.200949026175008,Proposed
53,15,0.155606925790341,0.106680804978527,Oracle
54,42,0.315395979374189,0.281428214088024,Proposed
54,34,0.298537769564542,0.275505827330492,Oracle
55,30,0.245042047540655,0.18260598476585,Proposed
55,28,0.254176633230629,0.197544261156539,Oracle
56,24,0.28941804250056,0.255768592762656,Proposed
56,22,0.266536535643939,0.212904816175469,Oracle
57,19,0.198727704749444,0.200349388508787,Proposed
57,18,0.166373317085777,0.168236121114506,Oracle
58,41,0.303299626134843,0.271097458025108,Proposed
58,46,0.27800708276156,0.278259450528289,Oracle
59,15,0.362464187247683,0.330711947609852,Proposed
59,17,0.376418765137679,0.359706818446189,Oracle
60,29,0.331400356581226,0.278873151214114,Proposed
60,29,0.304382954288748,0.256929055936401,Oracle
61,18,0.293740826853781,0.246841734757753,Proposed
61,17,0.240632237509287,0.215319392811598,Oracle
62,30,0.326694179129476,0.304146883884011,Proposed
62,29,0.319018930397799,0.281053267537734,Oracle
63,23,0.38684224131368,0.385517402673028,Proposed
63,20,0.344497425366143,0.369913241303826,Oracle
64,24,0.254468748332205,0.176289502738113,Proposed
64,22,0.172991390651686,0.138971669944041,Oracle
65,27,0.249002896293531,0.253299852167296,Proposed
65,28,0.228045445861172,0.201593764544842,Oracle
66,20,0.359287107067383,0.299585853131588,Proposed
66,21,0.309839549108502,0.233612606420901,Oracle
67,16,0.293876157364743,0.233968389125143,Proposed
67,17,0.237323122183376,0.198549209947696,Oracle
68,31,0.441710780083246,0.386079993038307,Proposed
68,30,0.413353924777432,0.355466420704113,Oracle
69,27,0.265484053632442,0.255089321727846,Proposed
69,28,0.206378164517975,0.177236790175419,Oracle
70,16,0.373457933107056,0.381976457706162,Proposed
70,21,0.312103394089277,0.272879612297707,Oracle
71,24,0.394175740673613,0.300032716963189,Proposed
71,26,0.29978071530503,0.161205266807867,Oracle
72,28,0.250328297251286,0.233551335921018,Proposed
72,30,0.239414586868812,0.25325512483501,Oracle
73,20,0.339800970174249,0.330486463628578,Proposed
73,24,0.288811497293184,0.288088615111959,Oracle
74,31,0.328264147230795,0.313769845977517,Proposed
74,28,0.286495164122801,0.281676763351978,Oracle
75,12,0.330177744687121,0.333040969067348,Proposed
75,14,0.249496175973165,0.244256457193657,Oracle
76,29,0.264395248784959,0.220776008989245,Proposed
76,31,0.237144322386316,0.186798779228202,Oracle
77,28,0.215154789114821,0.178502864910662,Proposed
77,26,0.177214521748327,0.14377806401454,Oracle
78,25,0.198886119225789,0.202940211134967,Proposed
78,26,0.14756536008982,0.141119931963134,Oracle
79,31,0.256427181216596,0.222142836444285,Proposed
79,29,0.242817708115297,0.199292699510896,Oracle
80,28,0.360596926797089,0.280157340917193,Proposed
80,19,0.24279140896427,0.255818722072642,Oracle
81,31,0.320524882816953,0.281872098345238,Proposed
81,32,0.302838837240874,0.29074323498949,Oracle
82,31,0.321515448382357,0.248026365056537,Proposed
82,30,0.292265363065524,0.270573297316551,Oracle
83,23,0.240424799784624,0.196480667937871,Proposed
83,25,0.208661410612861,0.181165709979432,Oracle
84,13,0.282143709935068,0.216846290625974,Proposed
84,15,0.199618192977045,0.169092683790299,Oracle
85,39,0.365834962250004,0.302798367039097,Proposed
85,34,0.276808606149929,0.172854820412602,Oracle
86,32,0.391452268406546,0.348488381751948,Proposed
86,33,0.349503619649906,0.317808247135105,Oracle
87,32,0.213185845869189,0.188844596577084,Proposed
87,29,0.194003215445193,0.153345889938106,Oracle
88,28,0.496529841021346,0.481521223856398,Proposed
88,31,0.417254721867745,0.441575170606945,Oracle
89,28,0.345397811154902,0.361962206679773,Proposed
89,31,0.2932948217058,0.296607308329214,Oracle
90,23,0.331653853790617,0.272949922481678,Proposed
90,21,0.269976362785051,0.236559972493638,Oracle
91,25,0.278724225329063,0.29021152198076,Proposed
91,25,0.303733106822189,0.277778610876211,Oracle
92,14,0.281240046385536,0.256780364330362,Proposed
92,14,0.2292210310886,0.183942404367146,Oracle
93,20,0.289457722367893,0.306944948794147,Proposed
93,21,0.333225723422204,0.279878566265815,Oracle
94,10,0.168918047364306,0.102055117634777,Proposed
94,10,0.158172437040769,0.120179215938725,Oracle
95,24,0.347130645527512,0.274063949345816,Proposed
95,27,0.295448630520953,0.248610030263116,Oracle
96,41,0.317507494056601,0.263209565285939,Proposed
96,40,0.280137615742678,0.245805717038939,Oracle
97,16,0.387561168119771,0.253814798391016,Proposed
97,27,0.280316786206468,0.220890561501162,Oracle
98,13,0.194988171473765,0.153364992845357,Proposed
98,14,0.196943390091863,0.165413425187773,Oracle
99,17,0.31253717900372,0.271570398970802,Proposed
99,24,0.349735896231567,0.294462551437577,Oracle
100,25,0.401528102740219,0.342863003177686,Proposed
100,24,0.380118805232014,0.31540595540291,Oracle
