jobid,k_opt,k1_opt,k2_opt,MAE_adj,Med_Abs_Err,scenario
1,19,16,21,41.6971521750764,21.847414899428,Proposed
1,37,23,32,57.5577335109434,25.9111831793889,Oracle
2,31,22,32,77.4968522632709,45.2909394888295,Proposed
2,36,20,28,61.2816437273208,41.2747600867939,Oracle
3,21,18,24,61.9162618705363,30.7010881542929,Proposed
3,38,22,30,79.0687421960043,38.8473839858933,Oracle
4,28,25,35,78.697795795665,50.2170441239981,Proposed
4,37,17,24,47.5500923525343,33.2195023018331,Oracle
5,26,22,31,60.7519309681995,47.378986027862,Proposed
5,33,17,24,45.3747566121932,33.3983260620138,Oracle
6,19,14,19,46.4908401296846,18.4033751625797,Proposed
6,36,25,35,93.3948196136824,59.7019771614493,Oracle
7,21,17,25,55.7010391022049,36.3784614940049,Proposed
7,38,25,35,81.4887963945123,45.4009077344393,Oracle
8,26,21,29,58.1491612667176,33.9796753524395,Proposed
8,38,19,26,51.6839328333307,33.6294253456854,Oracle
9,26,23,33,81.87585665197,34.9988927026792,Proposed
9,37,25,35,84.3606688680297,64.8120097462397,Oracle
10,24,22,32,59.6010458136919,26.5714878947793,Proposed
10,32,18,26,52.6889552838214,24.815801857671,Oracle
11,21,17,23,48.5667464323701,25.8678014709614,Proposed
11,38,19,26,56.156102567074,31.6919141911827,Oracle
12,21,17,25,37.6636695999739,21.1971138097245,Proposed
12,37,26,36,70.7122205480039,41.7557953941745,Oracle
13,30,23,34,68.4556089577954,21.1395193929532,Proposed
13,38,21,30,62.2288980927264,31.6073843270732,Oracle
14,27,23,32,71.25977391124,35.4271811714785,Proposed
14,35,17,24,58.4495954311938,37.2763776977317,Oracle
15,23,20,27,58.6001678378634,24.2752738714939,Proposed
15,36,20,28,63.6557303346552,23.5436734934199,Oracle
16,24,20,28,65.2902455263233,34.1608618452195,Proposed
16,37,24,35,71.5390102659,50.0342788713317,Oracle
17,24,19,26,64.9809799352513,31.2198710502382,Proposed
17,38,22,32,75.7994569943442,46.0202695681347,Oracle
18,28,23,32,79.956098968377,33.7199840245302,Proposed
18,38,19,26,60.8392690056157,22.3499941382706,Oracle
19,24,24,33,67.8943054475452,41.2222371371722,Proposed
19,37,23,33,70.7483143255622,46.2032263208337,Oracle
20,25,14,19,52.902230594387,23.7538954625519,Proposed
20,31,17,24,50.8392425055232,31.6680440067048,Oracle
21,26,22,31,82.7602344595411,27.7533770083327,Proposed
21,38,19,26,60.3562197092186,36.8948840815342,Oracle
22,23,18,26,54.0517946354778,34.5077342098696,Proposed
22,38,25,37,80.3611108794446,65.461530923672,Oracle
23,24,20,29,55.2764675537145,22.4756966767579,Proposed
23,39,19,26,53.2980532229812,34.5851795545415,Oracle
24,26,25,36,83.9380713298111,25.5877530192826,Proposed
24,37,21,30,69.8282888219794,36.4296850997151,Oracle
25,22,19,28,62.4758394358006,39.8036177792595,Proposed
25,31,22,31,62.5632261390647,39.9636316390773,Oracle
26,24,19,27,62.6656518413088,23.1541239809985,Proposed
26,39,22,30,67.1289571793334,36.5465215780607,Oracle
27,21,16,23,53.751639977872,33.2983846288934,Proposed
27,36,20,29,63.5925464829048,40.9959676657782,Oracle
28,30,22,32,65.2077921998474,42.5096633986109,Proposed
28,37,18,24,46.9067723914452,25.9868540351398,Oracle
29,25,22,32,69.326801005435,54.2336572295226,Proposed
29,25,21,30,61.04031750933,47.082982297121,Oracle
30,27,21,30,66.1498375724882,35.4710477528341,Proposed
30,39,21,31,64.6652658590032,40.0838237472964,Oracle
31,26,20,29,60.5194306331583,34.7754151732823,Proposed
31,37,21,29,67.9092756526148,43.0545518905004,Oracle
32,27,20,28,61.3360856730282,22.096346896589,Proposed
32,38,21,29,64.1178634831435,30.8052429724102,Oracle
33,24,20,28,68.4139925463257,36.5006449875204,Proposed
33,38,19,27,58.8095755819921,32.8537604796076,Oracle
34,23,18,25,56.5248011900221,28.0455513541474,Proposed
34,39,20,29,58.8449790688313,39.9087797291628,Oracle
35,18,15,21,44.5851683271796,22.4173955836535,Proposed
35,38,18,25,44.4022755106228,20.8030387012949,Oracle
36,24,20,29,60.8853569968021,18.4021417250248,Proposed
36,36,17,25,51.9747938058171,22.5697252594767,Oracle
37,27,20,29,76.2502176173301,31.5704791992254,Proposed
37,38,25,36,80.918644700331,64.6121130765858,Oracle
38,25,22,30,58.9674777654449,13.7565261136456,Proposed
38,38,25,35,69.7929445642146,41.553812820775,Oracle
39,28,23,32,72.9259779335992,44.1088041687581,Proposed
39,38,19,26,63.0056343509875,29.6018110656329,Oracle
40,24,19,26,60.4321340533992,27.2113329975692,Proposed
40,38,18,25,52.4934508052728,27.9187126464764,Oracle
41,22,18,26,52.2925830602524,31.1584928553221,Proposed
41,36,19,28,60.6214989275264,36.0129128507268,Oracle
42,26,22,31,73.3573014210332,39.2360622572733,Proposed
42,32,17,23,55.6209455554105,32.5409967750959,Oracle
43,27,22,31,71.2031192638187,29.496909669983,Proposed
43,38,21,29,60.842653492036,31.4443242680045,Oracle
44,24,20,29,60.6592523369353,28.8867297911444,Proposed
44,38,25,36,79.7347647898435,62.4507221985135,Oracle
45,25,19,28,65.591886670583,33.155866191517,Proposed
45,38,22,30,65.0405843136161,37.8423698429354,Oracle
46,24,21,31,60.0379545873077,28.2589760917145,Proposed
46,37,23,33,78.3720172303634,31.9754715928104,Oracle
47,25,21,31,83.2141096243436,40.958990776822,Proposed
47,38,25,36,86.7538194897617,49.7704371944218,Oracle
48,20,16,22,42.0102183396658,14.4388016535785,Proposed
48,38,21,29,57.9047221310597,28.5344610854765,Oracle
49,24,21,30,59.8974175189682,30.496488683176,Proposed
49,38,20,27,52.3384625009389,22.5557989456268,Oracle
50,27,21,28,63.4945115330528,35.3062895017013,Proposed
50,38,21,30,64.8254492135398,43.4308559932248,Oracle
51,25,21,30,62.5793894991553,37.4791672755182,Proposed
51,34,16,23,48.5547123521415,39.9869054879479,Oracle
52,22,18,25,61.5883944092951,27.8134663437232,Proposed
52,35,20,27,55.0417245525976,33.2233902658402,Oracle
53,22,19,26,56.0265413628608,18.6188095444074,Proposed
53,34,20,28,57.9952710598877,21.7484729359937,Oracle
54,34,25,35,80.8450946853926,45.1081241187971,Proposed
54,33,17,23,46.1954517819972,30.2699576736196,Oracle
55,26,21,29,69.0528884215049,22.6330273936759,Proposed
55,39,20,29,65.3563317623808,30.8019745425993,Oracle
56,21,17,23,57.762042672105,32.6700534679228,Proposed
56,38,22,31,71.7428147268565,47.5554298242975,Oracle
57,24,16,23,68.2329881115811,33.6882864716252,Proposed
57,38,21,30,64.8448960048656,24.9248414976035,Oracle
58,23,20,28,62.2884778762449,47.2476115054694,Proposed
58,37,24,35,77.3117937534308,41.2782481110823,Oracle
59,25,18,25,56.0975846115159,24.5440688230276,Proposed
59,31,19,26,58.6570749320552,27.9024196788949,Oracle
60,30,24,33,76.0658133183783,32.5437980793802,Proposed
60,31,18,25,50.5137607637306,25.4015353433826,Oracle
61,23,19,26,61.1714382148015,29.4435153892376,Proposed
61,37,20,28,61.6178242566742,34.2645719339649,Oracle
62,20,17,23,39.7499282973685,25.290393992577,Proposed
62,29,17,24,45.4571848320871,32.8541247873778,Oracle
63,28,24,34,78.2923147285427,55.8866049279969,Proposed
63,38,18,26,50.7538918706704,33.8050193494418,Oracle
64,22,18,25,50.0740127560539,20.9136238752626,Proposed
64,38,23,32,70.532812612914,34.267061344045,Oracle
65,30,19,26,68.0848976334074,22.6289569529173,Proposed
65,38,21,29,78.0358271619719,36.2739986631879,Oracle
66,21,19,26,59.0622391200245,21.0211964049572,Proposed
66,37,18,25,52.7697918092028,23.4325959773784,Oracle
67,21,18,24,57.3962728047862,25.4017172835542,Proposed
67,37,21,31,69.1687282991562,36.8031284609076,Oracle
68,21,18,26,59.9088268699256,30.7386613281386,Proposed
68,38,20,29,77.4427351006099,51.2161628871158,Oracle
69,19,16,23,42.6224997137794,22.3021467374266,Proposed
69,37,19,25,51.8963457556952,28.4613841347972,Oracle
70,21,15,21,47.5176590636456,27.6388282141803,Proposed
70,31,17,23,53.2107221250069,36.2392878055101,Oracle
71,24,20,29,59.391320980546,31.4896837664374,Proposed
71,38,21,29,60.6178383953579,30.7469814752726,Oracle
72,20,15,22,57.7301833616975,23.366421682365,Proposed
72,38,22,32,71.923915537579,40.1139097352673,Oracle
73,26,22,30,67.7075824901045,45.8718948646339,Proposed
73,38,22,32,72.1426896994561,61.0262944723649,Oracle
74,27,25,35,78.6939504222818,51.8431401798444,Proposed
74,38,22,31,65.8243974019142,41.6646579664028,Oracle
75,20,17,24,51.8293770431018,23.1200622620971,Proposed
75,37,18,25,55.7701735953562,25.6669854852982,Oracle
76,23,22,31,66.0290644278596,35.6745592309772,Proposed
76,38,19,27,58.1662840829428,26.1536179491485,Oracle
77,27,24,34,68.7140129223143,31.2121810355302,Proposed
77,37,19,26,59.6009612249432,26.7516370731358,Oracle
78,29,25,34,84.718307084842,40.9648496325703,Proposed
78,37,17,24,56.0463499212986,30.1889936477579,Oracle
79,31,20,27,71.7461789048465,29.4336618674405,Proposed
79,36,18,26,61.626722203461,32.8128818760163,Oracle
80,24,20,27,60.2729065359514,29.9356887373087,Proposed
80,35,20,29,59.4474319997401,34.1507859276458,Oracle
81,22,18,26,46.065969336332,25.0457853491566,Proposed
81,36,17,24,54.2284078900753,30.2894808934683,Oracle
82,24,17,25,61.0012597477091,43.5848447419408,Proposed
82,31,16,22,47.0207517259991,35.4127810490923,Oracle
83,29,19,26,69.2422131425079,26.7555563199556,Proposed
83,37,17,23,52.3794870420756,22.8139833022199,Oracle
84,20,16,23,52.0942928523284,30.9174425644783,Proposed
84,36,20,28,62.6864917124234,27.7382569131909,Oracle
85,27,23,32,72.8190331345477,46.8791288282063,Proposed
85,39,21,30,62.4999840167661,46.4981689429355,Oracle
86,22,18,26,58.5911829435204,17.6247871723521,Proposed
86,32,19,26,61.655609278163,20.1780082022162,Oracle
87,29,24,34,84.5037404669627,30.9177529025984,Proposed
87,38,20,29,69.9127398969218,31.6727656980204,Oracle
88,23,20,27,61.0979589908345,30.3753501098918,Proposed
88,37,19,26,53.4182846048611,29.5256066950188,Oracle
89,28,23,34,88.6659684545396,43.5065472423328,Proposed
89,37,17,25,58.5974832164492,32.5443861527535,Oracle
90,28,25,36,74.8843435619954,50.4621847706288,Proposed
90,38,20,29,63.6324153138929,51.3682617622891,Oracle
91,28,19,26,58.6647567194639,34.8829050176064,Proposed
91,38,23,32,70.0279089898309,50.4563409200391,Oracle
92,22,19,26,61.0229885121579,25.9361464701252,Proposed
92,38,21,30,72.0529753536496,33.6834955310641,Oracle
93,25,24,33,77.0943046701615,44.0448295581349,Proposed
93,39,22,31,66.1595431201156,41.6206856514,Oracle
94,21,17,23,52.7903215575266,23.6065565272218,Proposed
94,38,22,32,64.480494016394,29.4558268722987,Oracle
95,27,23,33,68.3274390835893,27.9140853973442,Proposed
95,38,18,24,47.1970226927016,23.7413259135711,Oracle
96,26,20,28,67.2007999047423,35.6991700363765,Proposed
96,38,21,29,70.059031081376,29.5542069098692,Oracle
97,24,20,28,50.6449940152083,16.1698971225002,Proposed
97,38,20,28,59.8438512723952,25.1886746438265,Oracle
98,23,18,26,55.6843068358201,22.6939962218635,Proposed
98,39,22,31,67.7068888108447,36.0166310302751,Oracle
99,21,17,24,51.8576390099659,28.540007194905,Proposed
99,37,22,32,72.8644258136614,38.9681654729742,Oracle
100,21,20,29,52.6796609179392,24.0197916706746,Proposed
100,27,15,21,39.2479173703487,26.3243330049333,Oracle
